source;share/autoware_utils_visualization/hook/cmake_prefix_path.ps1
source;share/autoware_utils_visualization/hook/cmake_prefix_path.dsv
source;share/autoware_utils_visualization/hook/cmake_prefix_path.sh
source;share/autoware_utils_visualization/hook/ld_library_path_lib.ps1
source;share/autoware_utils_visualization/hook/ld_library_path_lib.dsv
source;share/autoware_utils_visualization/hook/ld_library_path_lib.sh
source;share/autoware_utils_visualization/local_setup.bash
source;share/autoware_utils_visualization/local_setup.dsv
source;share/autoware_utils_visualization/local_setup.ps1
source;share/autoware_utils_visualization/local_setup.sh
source;share/autoware_utils_visualization/local_setup.zsh
